data, sillyHash, FirstLetter, WordLen, LetterSum, Rolleft, MyHash, 
346, 0, 0, 0, 23, 36, 39, 
347, 0, 0, 0, 32, 68, 52, 
348, 0, 0, 0, 26, 40, 51, 
349, 0, 0, 0, 31, 66, 48, 
350, 0, 0, 0, 41, 54, 56, 
351, 0, 0, 0, 34, 55, 56, 
352, 0, 0, 0, 33, 60, 59, 
353, 0, 0, 0, 33, 46, 58, 
354, 0, 0, 0, 29, 46, 63, 
355, 0, 0, 0, 30, 61, 44, 
356, 0, 0, 0, 43, 53, 45, 
357, 0, 0, 0, 42, 48, 56, 
358, 0, 0, 0, 42, 52, 58, 
359, 0, 0, 0, 36, 52, 53, 
360, 0, 0, 0, 44, 55, 64, 
361, 0, 0, 0, 39, 42, 66, 
362, 0, 0, 0, 40, 40, 65, 
363, 0, 0, 0, 38, 60, 57, 
364, 0, 0, 0, 53, 58, 50, 
365, 0, 0, 0, 41, 46, 48, 
366, 0, 0, 0, 41, 54, 73, 
367, 0, 0, 0, 36, 64, 75, 
368, 0, 0, 0, 35, 44, 74, 
369, 0, 0, 0, 42, 59, 44, 
370, 0, 0, 0, 28, 56, 55, 
371, 0, 0, 0, 45, 46, 50, 
372, 0, 0, 0, 42, 51, 41, 
373, 0, 0, 0, 42, 68, 38, 
374, 0, 0, 0, 39, 53, 51, 
375, 0, 0, 0, 47, 51, 61, 
376, 0, 0, 0, 42, 47, 65, 
377, 0, 0, 0, 43, 55, 55, 
378, 0, 0, 0, 46, 50, 43, 
379, 0, 0, 0, 46, 54, 46, 
380, 0, 0, 0, 46, 60, 59, 
381, 0, 0, 0, 40, 61, 76, 
382, 0, 0, 0, 56, 68, 59, 
383, 0, 0, 0, 47, 55, 45, 
384, 0, 0, 0, 47, 53, 55, 
385, 0, 0, 0, 46, 52, 44, 
386, 0, 0, 0, 42, 48, 47, 
387, 0, 0, 0, 31, 61, 65, 
388, 0, 0, 0, 34, 64, 64, 
389, 0, 0, 0, 41, 50, 58, 
390, 0, 0, 0, 43, 64, 61, 
391, 0, 0, 0, 33, 52, 50, 
392, 0, 0, 0, 44, 39, 59, 
393, 0, 0, 0, 45, 54, 55, 
394, 0, 0, 0, 47, 53, 62, 
395, 0, 0, 0, 50, 61, 55, 
396, 0, 0, 0, 45, 60, 40, 
397, 0, 0, 0, 41, 57, 59, 
398, 0, 0, 0, 43, 59, 48, 
399, 0, 0, 0, 54, 56, 59, 
400, 0, 0, 0, 50, 49, 57, 
401, 0, 0, 0, 45, 61, 60, 
402, 0, 0, 0, 50, 56, 68, 
403, 0, 0, 0, 44, 56, 51, 
404, 0, 0, 0, 48, 40, 59, 
405, 0, 0, 0, 43, 52, 52, 
406, 0, 0, 0, 40, 49, 53, 
407, 0, 0, 0, 39, 72, 61, 
408, 0, 0, 0, 41, 50, 58, 
409, 0, 0, 0, 42, 45, 62, 
410, 0, 0, 0, 41, 57, 49, 
411, 0, 0, 0, 37, 49, 63, 
412, 0, 0, 0, 51, 45, 44, 
413, 0, 0, 0, 43, 45, 54, 
414, 0, 0, 0, 48, 58, 56, 
415, 0, 0, 0, 56, 40, 57, 
416, 0, 0, 0, 56, 67, 60, 
417, 0, 0, 0, 50, 52, 60, 
418, 0, 0, 0, 60, 54, 56, 
419, 0, 0, 0, 54, 41, 41, 
420, 0, 0, 0, 56, 49, 56, 
421, 0, 0, 0, 59, 73, 80, 
422, 0, 0, 0, 66, 45, 48, 
423, 0, 0, 0, 54, 48, 45, 
424, 0, 0, 0, 76, 62, 63, 
425, 0, 0, 0, 70, 61, 65, 
426, 0, 0, 0, 81, 43, 62, 
427, 0, 0, 0, 76, 49, 49, 
428, 0, 0, 0, 73, 55, 58, 
429, 0, 0, 0, 66, 63, 57, 
430, 0, 0, 0, 66, 53, 45, 
431, 0, 0, 0, 71, 59, 51, 
432, 0, 0, 0, 70, 64, 59, 
433, 0, 0, 0, 66, 49, 44, 
434, 0, 0, 0, 81, 49, 63, 
435, 0, 0, 0, 71, 48, 63, 
436, 0, 0, 0, 58, 50, 49, 
437, 0, 0, 0, 68, 53, 49, 
438, 0, 0, 0, 72, 46, 49, 
439, 0, 0, 0, 62, 55, 77, 
440, 0, 0, 0, 79, 51, 63, 
441, 0, 0, 0, 63, 66, 72, 
442, 0, 0, 0, 68, 45, 48, 
443, 0, 0, 0, 73, 59, 45, 
444, 0, 0, 0, 84, 39, 58, 
445, 0, 0, 0, 66, 53, 51, 
446, 0, 0, 0, 67, 38, 68, 
447, 0, 0, 0, 81, 45, 54, 
448, 0, 0, 0, 74, 49, 67, 
449, 0, 0, 0, 58, 52, 51, 
450, 0, 0, 0, 75, 68, 52, 
451, 0, 0, 0, 61, 46, 74, 
452, 0, 0, 0, 68, 60, 45, 
453, 0, 0, 0, 64, 62, 56, 
454, 0, 0, 0, 84, 60, 53, 
455, 0, 0, 0, 68, 58, 70, 
456, 0, 0, 0, 78, 46, 59, 
457, 0, 0, 0, 67, 65, 51, 
458, 0, 0, 0, 87, 60, 40, 
459, 0, 0, 0, 72, 51, 54, 
460, 0, 0, 0, 87, 62, 54, 
461, 0, 0, 0, 96, 50, 66, 
462, 0, 0, 0, 87, 57, 46, 
463, 0, 0, 0, 76, 63, 69, 
464, 0, 0, 0, 76, 51, 63, 
465, 0, 0, 0, 74, 40, 53, 
466, 0, 0, 0, 98, 52, 56, 
467, 0, 0, 0, 95, 57, 60, 
468, 0, 0, 0, 95, 44, 51, 
469, 0, 0, 0, 94, 57, 53, 
470, 0, 0, 0, 109, 48, 51, 
471, 0, 0, 0, 103, 62, 58, 
472, 0, 0, 0, 104, 57, 53, 
473, 0, 0, 0, 115, 58, 50, 
474, 0, 0, 0, 105, 53, 49, 
475, 0, 0, 0, 122, 62, 50, 
476, 0, 0, 0, 104, 63, 52, 
477, 0, 0, 0, 116, 49, 66, 
478, 0, 0, 0, 119, 43, 54, 
479, 0, 0, 0, 108, 53, 56, 
480, 0, 0, 0, 124, 41, 64, 
481, 0, 0, 0, 110, 54, 48, 
482, 0, 0, 0, 87, 48, 59, 
483, 0, 0, 0, 117, 53, 37, 
484, 0, 0, 0, 119, 58, 48, 
485, 0, 0, 0, 114, 53, 53, 
486, 0, 0, 0, 121, 45, 49, 
487, 0, 0, 0, 110, 59, 69, 
488, 0, 0, 0, 115, 43, 45, 
489, 0, 0, 0, 92, 58, 73, 
490, 0, 0, 0, 112, 53, 44, 
491, 0, 0, 0, 95, 47, 77, 
492, 0, 0, 0, 92, 48, 59, 
493, 0, 0, 0, 93, 51, 56, 
494, 0, 0, 0, 95, 48, 64, 
495, 0, 0, 0, 93, 53, 68, 
496, 0, 0, 0, 92, 48, 77, 
497, 0, 0, 0, 95, 56, 50, 
498, 0, 0, 0, 88, 48, 55, 
499, 0, 0, 0, 95, 44, 72, 
500, 0, 0, 0, 92, 52, 39, 
501, 0, 0, 0, 66, 68, 63, 
502, 0, 0, 0, 79, 45, 48, 
503, 0, 0, 0, 87, 57, 48, 
504, 0, 0, 0, 78, 41, 31, 
505, 0, 0, 0, 64, 39, 75, 
506, 0, 0, 0, 56, 63, 48, 
507, 0, 0, 0, 71, 53, 63, 
508, 0, 0, 0, 55, 45, 52, 
509, 0, 0, 0, 66, 52, 52, 
510, 0, 0, 0, 71, 45, 63, 
511, 0, 0, 0, 64, 54, 70, 
512, 0, 0, 0, 63, 57, 58, 
513, 0, 0, 0, 71, 48, 65, 
514, 0, 0, 0, 62, 55, 64, 
515, 0, 0, 0, 64, 54, 49, 
516, 0, 0, 0, 67, 52, 47, 
517, 0, 0, 0, 77, 46, 49, 
518, 0, 0, 0, 67, 49, 59, 
519, 0, 0, 0, 71, 61, 60, 
520, 0, 0, 0, 78, 50, 40, 
521, 0, 0, 0, 67, 56, 51, 
522, 0, 0, 0, 77, 62, 55, 
523, 0, 0, 0, 79, 51, 56, 
524, 0, 0, 0, 61, 50, 48, 
525, 0, 0, 0, 73, 49, 54, 
526, 0, 0, 0, 66, 60, 58, 
527, 0, 0, 0, 82, 54, 50, 
528, 0, 0, 0, 71, 57, 51, 
529, 0, 0, 0, 94, 48, 52, 
530, 0, 0, 0, 81, 65, 53, 
531, 0, 0, 0, 89, 57, 60, 
532, 0, 0, 0, 102, 60, 52, 
533, 0, 0, 0, 88, 61, 42, 
534, 0, 0, 0, 93, 58, 53, 
535, 0, 0, 0, 104, 49, 70, 
536, 0, 0, 0, 99, 36, 49, 
537, 0, 0, 0, 105, 47, 55, 
538, 0, 0, 0, 87, 51, 56, 
539, 0, 0, 0, 83, 58, 40, 
540, 0, 0, 0, 112, 44, 58, 
541, 0, 0, 0, 103, 50, 41, 
542, 0, 0, 0, 101, 51, 62, 
543, 0, 0, 0, 108, 50, 55, 
544, 0, 0, 0, 111, 48, 59, 
545, 0, 0, 0, 102, 56, 39, 
546, 0, 0, 0, 95, 54, 45, 
547, 0, 0, 0, 97, 36, 59, 
548, 0, 0, 0, 87, 54, 50, 
549, 0, 0, 0, 96, 62, 71, 
550, 0, 0, 0, 89, 56, 63, 
551, 0, 0, 0, 92, 60, 57, 
552, 0, 0, 0, 97, 58, 71, 
553, 0, 0, 0, 97, 57, 88, 
554, 0, 0, 0, 106, 50, 55, 
555, 0, 0, 0, 91, 49, 53, 
556, 0, 0, 0, 96, 64, 43, 
557, 0, 0, 0, 95, 51, 58, 
558, 0, 0, 0, 121, 58, 70, 
559, 0, 0, 0, 103, 57, 48, 
560, 0, 0, 0, 90, 57, 59, 
561, 0, 0, 0, 98, 48, 54, 
562, 0, 0, 0, 111, 48, 75, 
563, 0, 0, 0, 93, 60, 62, 
564, 0, 0, 0, 109, 61, 37, 
565, 0, 0, 0, 94, 57, 51, 
566, 0, 0, 0, 98, 39, 62, 
567, 0, 0, 0, 95, 64, 65, 
568, 0, 0, 0, 103, 51, 59, 
569, 0, 0, 0, 113, 39, 46, 
570, 0, 0, 0, 96, 46, 58, 
571, 0, 0, 0, 130, 59, 64, 
572, 0, 0, 0, 91, 51, 48, 
573, 0, 0, 0, 129, 48, 53, 
574, 0, 0, 0, 128, 64, 39, 
575, 0, 0, 0, 158, 50, 48, 
576, 0, 0, 0, 145, 51, 67, 
577, 0, 0, 0, 124, 57, 56, 
578, 0, 0, 0, 123, 45, 65, 
579, 0, 0, 0, 130, 64, 61, 
580, 0, 0, 0, 124, 63, 55, 
581, 0, 0, 0, 137, 55, 68, 
582, 0, 0, 0, 135, 48, 49, 
583, 0, 0, 0, 133, 54, 69, 
584, 0, 0, 0, 134, 60, 53, 
585, 0, 0, 0, 144, 51, 59, 
586, 0, 0, 0, 142, 51, 69, 
587, 0, 0, 0, 141, 53, 57, 
588, 0, 0, 0, 136, 40, 54, 
589, 0, 0, 0, 140, 64, 58, 
590, 0, 0, 0, 157, 59, 57, 
591, 0, 0, 0, 157, 51, 51, 
592, 0, 0, 0, 142, 45, 58, 
593, 0, 0, 0, 129, 66, 39, 
594, 0, 0, 0, 137, 62, 61, 
595, 0, 0, 0, 150, 62, 39, 
596, 0, 0, 0, 133, 49, 48, 
597, 0, 0, 0, 137, 55, 56, 
598, 0, 0, 0, 126, 61, 47, 
599, 0, 0, 0, 145, 59, 53, 
600, 0, 0, 0, 145, 48, 54, 
601, 0, 0, 0, 132, 51, 71, 
602, 0, 0, 0, 117, 56, 39, 
603, 0, 0, 0, 105, 64, 52, 
604, 0, 0, 0, 104, 53, 61, 
605, 0, 0, 0, 125, 48, 53, 
